UE资产路径,容器原始路径,字节,KB,MB,类别,扩展名
/Game/GameXXK/Cinematics/Prologue/Atlases/T_character_09_yue_bai_town_2k_idle_atlas.uasset,../../../GameXXK/Content/GameXXK/Cinematics/Prologue/Atlases/T_character_09_yue_bai_town_2k_idle_atlas.uasset,1059311,1034.5,1.01,过场,.uasset
/Game/GameXXK/BattleAnimations/Atlases/T_character_09_yue_bai_2k_idle_atlas.uasset,../../../GameXXK/Content/GameXXK/BattleAnimations/Atlases/T_character_09_yue_bai_2k_idle_atlas.uasset,1059305,1034.5,1.01,战斗动画图集,.uasset
/Engine/Content/EngineMaterials/FastBlueNoise_scalar_128x128x64.uasset,../../../Engine/Content/EngineMaterials/FastBlueNoise_scalar_128x128x64.uasset,1049117,1024.5,1.001,引擎自带资源,.uasset
/Game/GameXXK/UI/Battle/VFX/UltimateLightning057/T_UltimateLightning057_Atlas_01.uasset,../../../GameXXK/Content/GameXXK/UI/Battle/VFX/UltimateLightning057/T_UltimateLightning057_Atlas_01.uasset,1044733,1020.2,0.996,战斗UI/特效,.uasset
/Game/GameXXK/BattleAnimations/Atlases/T_enemy_16_toad_2k_idle_atlas.uasset,../../../GameXXK/Content/GameXXK/BattleAnimations/Atlases/T_enemy_16_toad_2k_idle_atlas.uasset,1022003,998.0,0.975,战斗动画图集,.uasset
/Game/GameXXK/UI/Tasks/Textures/T_TaskPanelFrame.uasset,../../../GameXXK/Content/GameXXK/UI/Tasks/Textures/T_TaskPanelFrame.uasset,1015020,991.2,0.968,其他UI,.uasset
/Game/GameXXK/BattleAnimations/Atlases/T_enemy_04_civet_2k_idle_atlas.uasset,../../../GameXXK/Content/GameXXK/BattleAnimations/Atlases/T_enemy_04_civet_2k_idle_atlas.uasset,1013227,989.5,0.966,战斗动画图集,.uasset
/Game/GameXXK/UI/Town/Textures/PSD/Backgrounds/T_TownPsd_Background_Map.uasset,../../../GameXXK/Content/GameXXK/UI/Town/Textures/PSD/Backgrounds/T_TownPsd_Background_Map.uasset,964051,941.5,0.919,城镇UI,.uasset
/Game/GameXXK/BattleAnimations/Atlases/T_character_10_zhou_guang_zu_2k_attack_atlas.uasset,../../../GameXXK/Content/GameXXK/BattleAnimations/Atlases/T_character_10_zhou_guang_zu_2k_attack_atlas.uasset,956221,933.8,0.912,战斗动画图集,.uasset
/Game/GameXXK/UI/Battle/ResourceBars/InkV3/T_InkResourceBarMaster.uasset,../../../GameXXK/Content/GameXXK/UI/Battle/ResourceBars/InkV3/T_InkResourceBarMaster.uasset,952953,930.6,0.909,战斗UI/特效,.uasset
/Game/GameXXK/UI/Battle/VFX/UltimateLightning057/T_UltimateLightning057_Atlas_06_Unified.uasset,../../../GameXXK/Content/GameXXK/UI/Battle/VFX/UltimateLightning057/T_UltimateLightning057_Atlas_06_Unified.uasset,947124,924.9,0.903,战斗UI/特效,.uasset
/Game/GameXXK/BattleAnimations/Atlases/T_enemy_11_graymane_2k_idle_atlas.uasset,../../../GameXXK/Content/GameXXK/BattleAnimations/Atlases/T_enemy_11_graymane_2k_idle_atlas.uasset,930920,909.1,0.888,战斗动画图集,.uasset
/Game/GameXXK/UI/Battle/MechanicIcons/T_Mechanic_Ice.uasset,../../../GameXXK/Content/GameXXK/UI/Battle/MechanicIcons/T_Mechanic_Ice.uasset,930572,908.8,0.887,战斗UI/特效,.uasset
/Game/GameXXK/BattleAnimations/Atlases/T_enemy_19_moneyrat_boss_2k_attack_atlas.uasset,../../../GameXXK/Content/GameXXK/BattleAnimations/Atlases/T_enemy_19_moneyrat_boss_2k_attack_atlas.uasset,919049,897.5,0.876,战斗动画图集,.uasset
/Game/GameXXK/UI/Battle/VFX/UltimateLightning057/T_UltimateLightning057_Atlas_07_Unified.uasset,../../../GameXXK/Content/GameXXK/UI/Battle/VFX/UltimateLightning057/T_UltimateLightning057_Atlas_07_Unified.uasset,917769,896.3,0.875,战斗UI/特效,.uasset
/Game/GameXXK/Characters/Hero/TownHorizontal/Atlases/T_Hero_Town_AdjustBackpack_Left_Atlas.uasset,../../../GameXXK/Content/GameXXK/Characters/Hero/TownHorizontal/Atlases/T_Hero_Town_AdjustBackpack_Left_Atlas.uasset,913632,892.2,0.871,角色/精灵图,.uasset
/Game/GameXXK/UI/MasterV2/Approved/T_MasterV2_PanelLarge.uasset,../../../GameXXK/Content/GameXXK/UI/MasterV2/Approved/T_MasterV2_PanelLarge.uasset,910058,888.7,0.868,其他UI,.uasset
/Game/GameXXK/BattleAnimations/Atlases/T_enemy_10_porcupine_2k_attack_atlas.uasset,../../../GameXXK/Content/GameXXK/BattleAnimations/Atlases/T_enemy_10_porcupine_2k_attack_atlas.uasset,908141,886.9,0.866,战斗动画图集,.uasset
/Game/GameXXK/UI/Battle/MechanicIcons/T_Mechanic_Fire.uasset,../../../GameXXK/Content/GameXXK/UI/Battle/MechanicIcons/T_Mechanic_Fire.uasset,903111,881.9,0.861,战斗UI/特效,.uasset
/Game/GameXXK/UI/Battle/MechanicIcons/T_Mechanic_Universal.uasset,../../../GameXXK/Content/GameXXK/UI/Battle/MechanicIcons/T_Mechanic_Universal.uasset,902744,881.6,0.861,战斗UI/特效,.uasset
/Game/GameXXK/Characters/Hero/TownHorizontal/Atlases/T_Hero_Town_DeepBreath_Left_Atlas.uasset,../../../GameXXK/Content/GameXXK/Characters/Hero/TownHorizontal/Atlases/T_Hero_Town_DeepBreath_Left_Atlas.uasset,901967,880.8,0.86,角色/精灵图,.uasset
/Game/GameXXK/BattleAnimations/Atlases/T_character_07_tusi_chief_2k_attack_atlas.uasset,../../../GameXXK/Content/GameXXK/BattleAnimations/Atlases/T_character_07_tusi_chief_2k_attack_atlas.uasset,890639,869.8,0.849,战斗动画图集,.uasset
/Game/GameXXK/BattleAnimations/Atlases/T_character_12_qiong_mei_er_2k_idle_atlas.uasset,../../../GameXXK/Content/GameXXK/BattleAnimations/Atlases/T_character_12_qiong_mei_er_2k_idle_atlas.uasset,886154,865.4,0.845,战斗动画图集,.uasset
/Game/GameXXK/BattleAnimations/Atlases/T_character_01_blade_2k_idle_atlas.uasset,../../../GameXXK/Content/GameXXK/BattleAnimations/Atlases/T_character_01_blade_2k_idle_atlas.uasset,883562,862.9,0.843,战斗动画图集,.uasset
/Game/GameXXK/BattleAnimations/Atlases/T_enemy_02_goat_2k_attack_atlas.uasset,../../../GameXXK/Content/GameXXK/BattleAnimations/Atlases/T_enemy_02_goat_2k_attack_atlas.uasset,879865,859.2,0.839,战斗动画图集,.uasset
/Game/GameXXK/BattleAnimations/Atlases/T_enemy_06_bluehorn_2k_attack_atlas.uasset,../../../GameXXK/Content/GameXXK/BattleAnimations/Atlases/T_enemy_06_bluehorn_2k_attack_atlas.uasset,879701,859.1,0.839,战斗动画图集,.uasset
/Game/GameXXK/BattleAnimations/Atlases/T_enemy_21_tiger_boss_2k_attack_atlas.uasset,../../../GameXXK/Content/GameXXK/BattleAnimations/Atlases/T_enemy_21_tiger_boss_2k_attack_atlas.uasset,856677,836.6,0.817,战斗动画图集,.uasset
/Game/GameXXK/UI/Battle/MechanicIcons/T_Mechanic_Formula.uasset,../../../GameXXK/Content/GameXXK/UI/Battle/MechanicIcons/T_Mechanic_Formula.uasset,850347,830.4,0.811,战斗UI/特效,.uasset
/Game/GameXXK/BattleAnimations/Atlases/T_character_04_hunter_2k_idle_atlas.uasset,../../../GameXXK/Content/GameXXK/BattleAnimations/Atlases/T_character_04_hunter_2k_idle_atlas.uasset,840694,821.0,0.802,战斗动画图集,.uasset
/Game/GameXXK/BattleAnimations/Atlases/T_enemy_13_snake_2k_attack_atlas.uasset,../../../GameXXK/Content/GameXXK/BattleAnimations/Atlases/T_enemy_13_snake_2k_attack_atlas.uasset,816775,797.6,0.779,战斗动画图集,.uasset
/Engine/Content/EngineMaterials/Substrate/Glints2/AGlintTex2dArray2.uasset,../../../Engine/Content/EngineMaterials/Substrate/Glints2/AGlintTex2dArray2.uasset,812943,793.9,0.775,引擎自带资源,.uasset
/Game/GameXXK/BattleAnimations/Atlases/T_enemy_03_weasel_2k_idle_atlas.uasset,../../../GameXXK/Content/GameXXK/BattleAnimations/Atlases/T_enemy_03_weasel_2k_idle_atlas.uasset,797000,778.3,0.76,战斗动画图集,.uasset
/Game/GameXXK/BattleAnimations/Atlases/T_enemy_01_rooster_2k_attack_atlas.uasset,../../../GameXXK/Content/GameXXK/BattleAnimations/Atlases/T_enemy_01_rooster_2k_attack_atlas.uasset,790361,771.8,0.754,战斗动画图集,.uasset
/Game/GameXXK/BattleAnimations/Atlases/T_enemy_17_whiteape_2k_attack_atlas.uasset,../../../GameXXK/Content/GameXXK/BattleAnimations/Atlases/T_enemy_17_whiteape_2k_attack_atlas.uasset,786604,768.2,0.75,战斗动画图集,.uasset
/Game/GameXXK/BattleAnimations/Atlases/T_character_11_jin_gui_2k_attack_atlas.uasset,../../../GameXXK/Content/GameXXK/BattleAnimations/Atlases/T_character_11_jin_gui_2k_attack_atlas.uasset,778766,760.5,0.743,战斗动画图集,.uasset
/Game/GameXXK/BattleAnimations/Atlases/T_status_buff_2k_generic_atlas.uasset,../../../GameXXK/Content/GameXXK/BattleAnimations/Atlases/T_status_buff_2k_generic_atlas.uasset,778090,759.9,0.742,战斗动画图集,.uasset
/Game/GameXXK/BattleAnimations/Atlases/T_enemy_05_ironfeather_2k_attack_atlas.uasset,../../../GameXXK/Content/GameXXK/BattleAnimations/Atlases/T_enemy_05_ironfeather_2k_attack_atlas.uasset,772541,754.4,0.737,战斗动画图集,.uasset
