region_id,screen_name,asset_filename,asset_relative_path,ue_asset_path,source_art_path,width,height,color_mode,has_alpha,shared,usage,notes,sha256
R04_effects,17_BattleRetreatConfirm,T_BattleTargetInkDab_08.png,T_BattleTargetInkDab_08.png,/Game/GameXXK/UI/Battle/Textures/T_BattleTargetInkDab_08.T_BattleTargetInkDab_08,,325,182,RGBA,true,true,命中、目标箭头与墨迹特效,"Exported from current UE Texture2D; preserve filename, canvas size, and alpha.",dee94e0bcb8ef034220ac54c69be0a1c8d66f3f7c44174d12cc802af306fa450
R04_effects,17_BattleRetreatConfirm,T_BattleTargetInkDab_09.png,T_BattleTargetInkDab_09.png,/Game/GameXXK/UI/Battle/Textures/T_BattleTargetInkDab_09.T_BattleTargetInkDab_09,,341,271,RGBA,true,true,命中、目标箭头与墨迹特效,"Exported from current UE Texture2D; preserve filename, canvas size, and alpha.",fb23f723f73d2f1029802e0f7a9bf41e2317d4f944a70ff993c79e65d79259da
R04_effects,17_BattleRetreatConfirm,T_BattleTargetInkDab_10.png,T_BattleTargetInkDab_10.png,/Game/GameXXK/UI/Battle/Textures/T_BattleTargetInkDab_10.T_BattleTargetInkDab_10,,362,259,RGBA,true,true,命中、目标箭头与墨迹特效,"Exported from current UE Texture2D; preserve filename, canvas size, and alpha.",edeb65de636fb5a9816223601bd3c5171e1705e2a784abd7d0f7df2e7761ba41
R04_effects,17_BattleRetreatConfirm,T_BattleTargetInkDab_11.png,T_BattleTargetInkDab_11.png,/Game/GameXXK/UI/Battle/Textures/T_BattleTargetInkDab_11.T_BattleTargetInkDab_11,,328,237,RGBA,true,true,命中、目标箭头与墨迹特效,"Exported from current UE Texture2D; preserve filename, canvas size, and alpha.",351efe2bcb0ddfa018c0dfef234e7a291176d5ae1c7a152e75bf44169ff6ed60
R05_cards,17_BattleRetreatConfirm,T_CardFrame_PSD057.png,T_CardFrame_PSD057.png,/Game/GameXXK/UI/Cards/Textures/T_CardFrame_PSD057.T_CardFrame_PSD057,,452,516,RGBA,true,true,卡牌框与卡牌头像,"Exported from current UE Texture2D; preserve filename, canvas size, and alpha.",555a38b8cffd58b3e3490b6eb8936e7856826f2cee3c33a4947ea2140acb7ded
R05_cards,17_BattleRetreatConfirm,T_CardPortrait_Hero.png,T_CardPortrait_Hero.png,/Game/GameXXK/UI/PartyDeck/CardArt/T_CardPortrait_Hero.T_CardPortrait_Hero,,171,205,RGBA,true,true,卡牌框与卡牌头像,"Exported from current UE Texture2D; preserve filename, canvas size, and alpha.",d0cf7373dcf47783d9fda80a3654df001b73b0b437bc91d41f7de001e3745f60
R05_cards,17_BattleRetreatConfirm,T_CardPortrait_Npc_JinGui.png,T_CardPortrait_Npc_JinGui.png,/Game/GameXXK/UI/PartyDeck/CardArt/T_CardPortrait_Npc_JinGui.T_CardPortrait_Npc_JinGui,,171,205,RGBA,true,true,卡牌框与卡牌头像,"Exported from current UE Texture2D; preserve filename, canvas size, and alpha.",e3a75a5364d1c66dc66eea0accf890aaf4584db9630fc2d61b5a3ef8eaa9a7cd
R05_cards,17_BattleRetreatConfirm,T_CardPortrait_Npc_QiongMeiEr.png,T_CardPortrait_Npc_QiongMeiEr.png,/Game/GameXXK/UI/PartyDeck/CardArt/T_CardPortrait_Npc_QiongMeiEr.T_CardPortrait_Npc_QiongMeiEr,,171,205,RGBA,true,true,卡牌框与卡牌头像,"Exported from current UE Texture2D; preserve filename, canvas size, and alpha.",3403b1d307785f7f154e689af5b85c1f7e8a3711427f1f4238d5d20a3882ca13
R05_cards,17_BattleRetreatConfirm,T_CardPortrait_Npc_SongJinBao.png,T_CardPortrait_Npc_SongJinBao.png,/Game/GameXXK/UI/PartyDeck/CardArt/T_CardPortrait_Npc_SongJinBao.T_CardPortrait_Npc_SongJinBao,,171,205,RGBA,true,true,卡牌框与卡牌头像,"Exported from current UE Texture2D; preserve filename, canvas size, and alpha.",ffccb23824867bde08558647a04d427510d06ca90d8558fc39cffe54c4e90f09
R05_cards,17_BattleRetreatConfirm,T_CardPortrait_Npc_TusiChief.png,T_CardPortrait_Npc_TusiChief.png,/Game/GameXXK/UI/PartyDeck/CardArt/T_CardPortrait_Npc_TusiChief.T_CardPortrait_Npc_TusiChief,,171,205,RGBA,true,true,卡牌框与卡牌头像,"Exported from current UE Texture2D; preserve filename, canvas size, and alpha.",daafe5511984b8a86a76f3d5a1267233aef29f812619a3d08ee93b96203ff516
